연번,구분,데이터명,사이트 주소,날짜,다운로드 횟수
1,자율주행 차량 데이터,➀ 차량 라이다 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=21,2024-02-08 15:46:30,84
2,자율주행 차량 데이터,➁ 차량 카메라 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=207,2024-02-08 15:46:30,137
3,자율주행 차량 데이터,➂ 차량 기본안전메시지,https://bigdata-geo.kr/user/dataset/view.do?data_sn=17,2024-02-08 15:46:31,105
4,자율주행 차량 데이터,➃ 차량 GPS/INS 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=18,2024-02-08 15:46:32,91
5,자율주행 차량 데이터,➄ 차량 객체인식정보 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=19,2024-02-08 15:46:33,90
6,자율주행 차량 데이터,➅ 차량 상태정보 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=20,2024-02-08 15:46:33,97
7,자율주행 차량 데이터,➆ 차량 제어정보 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=22,2024-02-08 15:46:34,91
8,자율주행 도로 인프라 데이터,➀ 판교제로시티 CCTV 교통계측 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=16,2024-02-08 15:46:35,374
9,자율주행 도로 인프라 데이터,➂ 판교제로시티 라이다 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=240,2024-02-08 15:46:36,70
10,자율주행 도로 인프라 데이터,➃ 판교제로시티 레이더 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=241,2024-02-08 15:46:36,141
11,자율주행 도로 인프라 데이터,도로노면상태 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=728,2024-02-08 15:46:37,26
12,자율주행 도로 인프라 데이터,보행자케어 검지내역,https://bigdata-geo.kr/user/dataset/view.do?data_sn=730,2024-02-08 15:46:38,27
13,자율주행 도로 인프라 데이터,판교제로시티 CCTV 차량추적 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=731,2024-02-08 15:46:38,5
14,자율주행 도로 인프라 융합 데이터,판교 제로시티 카메라-라이다 융합 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=732,2024-02-08 15:46:39,10
15,자율주행 차량 융합 데이터,차량 카메라-라이다 융합 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=733,2024-02-08 15:46:40,3
16,공간융합 데이터,도로시설물 위치 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=729,2024-02-08 15:46:40,28
17,자율주행 차량 데이터,➀ 차량 라이다 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=21,2024-02-13 10:14:23,84
18,자율주행 차량 데이터,➁ 차량 카메라 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=207,2024-02-13 10:14:24,137
19,자율주행 차량 데이터,➂ 차량 기본안전메시지,https://bigdata-geo.kr/user/dataset/view.do?data_sn=17,2024-02-13 10:14:24,105
20,자율주행 차량 데이터,➃ 차량 GPS/INS 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=18,2024-02-13 10:14:25,91
21,자율주행 차량 데이터,➄ 차량 객체인식정보 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=19,2024-02-13 10:14:26,90
22,자율주행 차량 데이터,➅ 차량 상태정보 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=20,2024-02-13 10:14:27,97
23,자율주행 차량 데이터,➆ 차량 제어정보 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=22,2024-02-13 10:14:28,91
24,자율주행 도로 인프라 데이터,➀ 판교제로시티 CCTV 교통계측 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=16,2024-02-13 10:14:29,374
25,자율주행 도로 인프라 데이터,➂ 판교제로시티 라이다 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=240,2024-02-13 10:14:29,70
26,자율주행 도로 인프라 데이터,➃ 판교제로시티 레이더 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=241,2024-02-13 10:14:30,141
27,자율주행 도로 인프라 데이터,도로노면상태 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=728,2024-02-13 10:14:31,26
28,자율주행 도로 인프라 데이터,보행자케어 검지내역,https://bigdata-geo.kr/user/dataset/view.do?data_sn=730,2024-02-13 10:14:32,27
29,자율주행 도로 인프라 데이터,판교제로시티 CCTV 차량추적 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=731,2024-02-13 10:14:32,5
30,자율주행 도로 인프라 융합 데이터,판교 제로시티 카메라-라이다 융합 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=732,2024-02-13 10:14:33,10
31,자율주행 차량 융합 데이터,차량 카메라-라이다 융합 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=733,2024-02-13 10:14:34,3
32,공간융합 데이터,도로시설물 위치 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=729,2024-02-13 10:14:35,28
33,자율주행 차량 데이터,➀ 차량 라이다 데이터,https://bigdata-geo.kr/user/dataset/view.do?data_sn=21,2024-02-14 09:11:59,84
